Year,January,February,March,April,May,June,July,August,September,October,November,December
1870,1,1.44,0.689,0.656,1.613,1.166,1.082,0.774,0.281,0.846,0.624,0.624
1871,0.063,0.336,0.185,0.25,0.49,0.281,0.36,0.109,0.058,0.109,0.096,0.336
1872,0.518,0.384,0.25,0.593,0.384,0.27,0.102,0.723,1.04,0.884,0.624,0.774
1873,0.608,1.02,1.716,0.449,0.281,0.23,0.336,0.152,0.116,0.608,0.593,0.49
1874,0.865,1.124,1.96,0.884,0.74,0.518,1,1.103,1.277,1.563,1.769,1.3
1875,0.504,0.137,0.348,0.757,1.188,0.578,0.723,0.656,0.828,0.689,0.41,0.563
1876,0.903,1.44,1.277,1.392,1.166,0.185,0.116,0.026,0,0.012,0.023,0.053
1877,0.123,0.212,0.27,0.25,0.578,0.96,2.016,2.372,3.063,3.803,4.326,6.2
1878,5.808,5.905,1.716,0.846,0.672,0.846,0.063,0.012,0.102,0.281,0.49,0.563
1879,0.303,0.032,0.058,0.137,0.689,0.449,0.593,0.476,0.689,0.865,1.3,1.04
1880,1,0.533,0.384,0.325,0.504,0.372,0.281,0.058,0.001,0.029,0.058,0.032
1881,0.084,0.053,0.102,0.168,0.026,0.053,0.068,0.029,0.109,0.185,0.348,0.137
1882,0.203,0.303,0.281,0.01,0,0.16,0.325,0.109,0.26,0.423,0.846,0.563
1883,0.212,0.24,0.16,0.053,0.144,0.044,0,0.001,0.029,0.176,0.048,0.02
1884,0.012,0,0,0.068,0.16,0.017,0.078,0.04,0.032,0.084,0.09,0.123
1885,0.014,0.073,0.014,0,0.194,0.029,0.006,0.116,0.27,0.518,0.656,1.04
1886,0.029,0.01,0.012,0.137,0.723,0.81,0.941,1.061,1.464,1.3,1.796,2.074
1887,0.462,1.04,1.369,1.392,1.3,0.314,0.303,0.384,0.116,0.014,0.002,0.023
1888,0.023,0.436,0.16,0.09,0.221,0.16,0.314,0.865,0.336,2.016,4.884,2.789
1889,3.92,2.161,0.689,0.212,0.102,0.008,0.578,0.98,0.846,1.716,1.166,1.563
1890,6.2,4.452,1.323,1.3,1,0.74,0.846,1.904,1.664,1.588,1.145,0.462
1891,0.203,0.063,0.005,0.023,0.017,0.084,0.012,0.003,0.006,0.001,0.004,0
1892,0.25,0.116,0.336,0.423,0.518,0.325,0.384,0.397,1.145,2.372,2.624,1.392
1893,1.513,1.346,1.538,1.69,1.742,1.416,1.742,1.664,1.638,1.85,1.69,1
1894,1.188,1.277,1.124,0.846,1,0.706,0.774,0.64,1.21,0.672,0.846,0.23
1895,0.533,0.24,0.16,0.029,0.001,0.044,0.068,0.13,0.176,0.102,0.194,0.23
1896,0.026,0.008,0.023,0,0.002,0.044,0.185,1.103,1.082,1.21,2.28,2.403
1897,2.22,1.3,0.292,0.048,0.029,0,0.005,0.023,0.058,0.325,0.372,0.16
1898,0.26,0.325,0.624,0.372,0.348,0.078,0.397,0.578,0.036,0.109,0.436,0.608
1899,0.563,0.504,0.314,0.116,0.002,0.008,0,0.397,0.185,0.846,1.664,2.28
1900,1.988,1.664,0.98,0.436,0.292,0.578,0.563,0.608,0.314,0.176,0.02,0.36
1901,0.672,0.084,0.003,0.017,0.036,0.068,0.09,0.144,0.09,0.096,0.152,0.123
1902,0.25,0.068,0.073,0.04,0.221,0.593,2.074,1.464,2.074,1.96,2.372,1.932
1903,1.769,0.865,0.624,0.13,0.01,0.084,0.24,0.102,0.36,0.176,0.578,1.04
1904,0.533,0.624,0.723,0.518,0.16,0.02,0.563,0.292,0,0.828,0.023,0.74
1905,0.462,0.518,0.846,0.084,1.166,0.348,0.672,1.082,2.016,1.254,0.689,1.369
1906,0.792,0.449,0.64,0.203,0,0.023,0.24,0.137,0.656,0.757,0.109,0.26
1907,0.325,0.168,0.185,0.314,0.221,0.168,0.303,0.423,0.017,0.063,0.063,0.008
1908,0.073,0.005,0.397,0.303,0.203,0.048,0.397,0.16,0.27,0.25,0.774,1.323
1909,0.084,0.774,0.292,0.462,0.13,1.21,1,0.941,0.723,1.538,2.25,1.166
1910,0.865,0.41,0.624,1.369,1.988,1.082,0.774,0.81,1.664,0.884,0.281,0.41
1911,0.325,0.336,0.672,1.232,1.103,0.41,0.048,0.078,0.048,0.04,0.706,0.922
1912,2.403,0.689,0.476,0.336,0,0.058,0.01,0.16,0.008,0.017,0.026,0.24
1913,0.04,0.032,0.026,0.593,0.078,0.026,0.023,0.008,0.003,0.001,0.64,0.723
1914,0.49,0.64,0.102,0.476,0,0.006,0.281,0.846,0.462,0.068,0.09,0.462
1915,0.774,0.423,0.24,0.221,0.27,1.21,0.005,0.003,0.029,0.058,0.023,0.053
1916,0.014,0.372,0.292,0.397,0.053,0.13,1.232,2.19,1.85,1.85,2.958,2.69
1917,2.434,1.44,0.41,0.084,0.09,0.002,0.003,0.023,0.001,0.002,0.185,0.518
1918,0.706,0.672,0.922,0.314,0.029,0.137,0.005,0.014,0.168,0.865,1.513,1.69
1919,2.56,1.538,0.81,0.476,0.397,0.372,0.16,0.384,0.25,0.017,0.137,0.116
1920,0.41,0.36,0.281,0.026,0.044,0.084,0.023,0.017,0.073,0.23,0.006,0
1921,0.185,0.27,2.016,0.303,0.846,0.044,0.073,0.084,0.029,0.002,1.061,0.25
1922,0.292,0.005,0.006,0.292,0.048,0.194,0.194,0.608,0.144,0.068,0.096,0.281
1923,0.168,0.578,0.723,0.303,0.063,0.023,0.04,0.04,0.41,0.624,0.757,1.04
1924,0.212,0.397,0.152,0,0.723,0.449,0.96,0.608,0.74,0.212,1.188,0.436
1925,1.061,0.221,0.281,0.27,0.16,0.032,0.25,0.462,0.593,0.723,1,2.56
1926,2.31,1.664,1.416,1.02,0.689,0.372,0.397,0.023,0.005,0.152,0.073,0.053
1927,0.01,0.053,0.032,0.073,0.348,0.023,0.096,0.008,0.026,0.073,0.002,0.063
1928,0.221,0.044,0.058,0.048,0.002,0.068,0,0.078,0.017,0.014,0.029,0.001
1929,0.023,0.006,0.023,0.023,0.029,0.017,0,0.01,0.09,0.16,0.032,0.397
1930,0.123,0.152,0.084,0.168,0.002,0.073,0.41,0.462,1.638,1.3,3.204,1.988
1931,2.22,1.769,1.392,0.922,0.397,0.23,0.16,0.023,0.176,0.048,0.073,0.078
1932,0.176,0.036,0.063,0.063,0.078,0.036,0.012,0.008,0,0,0.002,0.168
1933,0.044,0.006,0.04,0,0.16,0.74,0.436,0.884,0.593,1.21,1.124,1.464
1934,0.865,0.757,0.903,0.176,0.24,0.109,0.185,0.109,0.27,0.068,0.012,0.058
1935,0.102,0.036,0.078,0.102,0.292,0.16,0.423,0.004,0.006,0.078,0.078,0.002
1936,0.548,0.24,0,0.084,0.005,0.123,0.116,0.102,0.01,0.144,0.001,0.397
1937,0.09,0.09,0.063,0.044,0.185,0.09,0.008,0.04,0.029,0.01,0.044,0.048
1938,0.044,0.053,0.004,0.008,0.109,0.774,0.96,0.656,0.078,0.563,0.518,0.624
1939,0.449,0.903,0.723,0.073,0.063,0.003,0.063,0.004,0.185,0.221,0.102,0.003
1940,1.392,1.904,1.416,0.64,0.116,0.303,0.044,0.563,0.003,0.102,0.49,1.932
1941,1.904,1.796,1.988,1.85,1.742,0.774,0.533,0.624,0.462,0.98,1.369,1.613
1942,0.372,0.281,0.063,0.325,0.01,0.27,0.303,0.922,1.369,1.742,2.25,1.538
1943,1.44,1.392,1.21,0.36,0.13,0.012,0.008,0.003,0.058,0.194,0.25,0.176
1944,0.176,0.026,0.044,0.012,0.02,0.002,0.006,0,0.096,0.048,0.123,0.068
1945,0.13,0.221,0.624,0.578,0.212,0.348,0.372,0.706,0.672,0.74,0.176,0.292
1946,0.194,0.058,0.13,0.23,0.152,0.023,0.001,0.27,0.036,0,0.032,0.001
1947,0.152,0.017,0.078,0.005,0.303,0.005,0.152,0.137,1.103,0.672,0.533,0.032
1948,0.003,0.137,0.397,0.063,0.096,0.004,0.004,0,0,0.462,0.09,0.144
1949,0.212,0.068,0.303,0.036,0.005,0.518,0.152,0.102,0.423,0.518,1.769,1.44
1950,1.103,2.25,1.145,0.828,1.69,0.74,1.166,0.397,1.21,0.689,1.904,1.082
